"행정구역별","산업별","대표자연령대",2013,2014,2015,2016,2017
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",438,479,452,547,645
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",3240,3220,3152,3436,3510
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",7329,7177,6660,6796,6821
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",10238,9846,9142,9007,8975
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",7591,7993,8580,8573,9076
"대구","전체 산업","계",195716,198762,200069,205318,209376
"대구","전체 산업","29세 이하",3438,4243,4104,4802,5400
"대구","전체 산업","30~39세",23582,24184,25253,27248,27817
"대구","전체 산업","40~49세",61639,60705,58937,60336,60470
"대구","전체 산업","50~59세",73013,72468,70867,71513,71624
"대구","전체 산업","60세 이상",34044,37162,40908,41419,44065
"대구","농업, 임업 및 어업(01~03)","계",13,20,17,16,15
"대구","농업, 임업 및 어업(01~03)","29세 이하",-,-,-,-,1
"대구","농업, 임업 및 어업(01~03)","30~39세",-,2,-,-,-
"대구","농업, 임업 및 어업(01~03)","40~49세",2,5,4,3,4
"대구","농업, 임업 및 어업(01~03)","50~59세",9,9,8,8,6
"대구","농업, 임업 및 어업(01~03)","60세 이상",2,4,5,5,4
"대구","광업(05~08)","계",10,11,9,9,8
"대구","광업(05~08)","29세 이하",-,-,-,-,-
"대구","광업(05~08)","30~39세",-,-,-,-,-
"대구","광업(05~08)","40~49세",1,1,1,1,1
"대구","광업(05~08)","50~59세",6,4,2,3,2
"대구","광업(05~08)","60세 이상",3,6,6,5,5
"대구","제조업(10~34)","계",25932,26574,27584,27511,27387
"대구","제조업(10~34)","29세 이하",236,301,293,318,351
"대구","제조업(10~34)","30~39세",1801,1964,2111,2206,2223
"대구","제조업(10~34)","40~49세",8101,7951,7925,7917,7773
"대구","제조업(10~34)","50~59세",11794,11882,11983,11897,11688
"대구","제조업(10~34)","60세 이상",4000,4476,5272,5173,5352
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","계",32,44,44,53,60
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,-,-,-
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",-,1,2,2,6
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",9,11,7,7,6
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",17,21,24,29,31
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",6,11,11,15,17
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",294,321,322,332,329
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",3,4,4,3,4
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",12,16,18,16,17
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",74,77,71,75,70
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",131,133,121,136,142
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",74,91,108,102,96
"대구","건설업(41~42)","계",5796,6196,6547,6734,6748
"대구","건설업(41~42)","29세 이하",36,66,69,75,75
"대구","건설업(41~42)","30~39세",392,460,507,506,530
"대구","건설업(41~42)","40~49세",2196,2294,2291,2376,2353
"대구","건설업(41~42)","50~59세",2492,2546,2714,2749,2797
"대구","건설업(41~42)","60세 이상",680,830,966,1028,993
"대구","도매 및 소매업(45~47)","계",52688,53760,53954,55387,55729
"대구","도매 및 소매업(45~47)","29세 이하",1102,1376,1292,1469,1531
"대구","도매 및 소매업(45~47)","30~39세",7374,7941,8108,8934,8873
"대구","도매 및 소매업(45~47)","40~49세",18594,18253,17369,17988,17956
"대구","도매 및 소매업(45~47)","50~59세",16890,16919,16950,17118,17267
"대구","도매 및 소매업(45~47)","60세 이상",8728,9271,10235,9878,10102
"대구","운수 및 창고업(49~52)","계",19930,20181,19739,19704,21171
"대구","운수 및 창고업(49~52)","29세 이하",84,106,107,106,154
"대구","운수 및 창고업(49~52)","30~39세",1501,983,1196,828,1006
"대구","운수 및 창고업(49~52)","40~49세",3243,3231,3147,2966,3310
"대구","운수 및 창고업(49~52)","50~59세",7462,7570,7197,6875,6758
"대구","운수 및 창고업(49~52)","60세 이상",7640,8291,8092,8929,9943
"대구","숙박 및 음식점업(55~56)","계",32466,32415,32530,33787,34435
"대구","숙박 및 음식점업(55~56)","29세 이하",999,1248,1311,1541,1801
"대구","숙박 및 음식점업(55~56)","30~39세",3936,4448,5198,5825,6133
"대구","숙박 및 음식점업(55~56)","40~49세",8873,8789,9169,9435,9445
"대구","숙박 및 음식점업(55~56)","50~59세",14567,13510,11642,11792,11480
"대구","숙박 및 음식점업(55~56)","60세 이상",4091,4420,5210,5194,5576
"대구","정보통신업(58~63)","계",1064,1173,1241,1272,1274
"대구","정보통신업(58~63)","29세 이하",11,33,30,35,36
"대구","정보통신업(58~63)","30~39세",164,220,219,241,220
"대구","정보통신업(58~63)","40~49세",474,470,482,498,511
"대구","정보통신업(58~63)","50~59세",341,357,410,409,407
"대구","정보통신업(58~63)","60세 이상",74,93,100,89,100
"대구","금융 및 보험업(64~66)","계",2225,2183,2184,2226,2252
"대구","금융 및 보험업(64~66)","29세 이하",16,21,7,7,6
"대구","금융 및 보험업(64~66)","30~39세",227,197,149,152,163
"대구","금융 및 보험업(64~66)","40~49세",762,722,640,635,633
"대구","금융 및 보험업(64~66)","50~59세",880,900,1025,1086,1110
"대구","금융 및 보험업(64~66)","60세 이상",340,343,363,346,340
"대구","부동산업(68)","계",5092,5535,5896,6440,6827
"대구","부동산업(68)","29세 이하",25,29,40,51,53
"대구","부동산업(68)","30~39세",244,290,285,377,392
"대구","부동산업(68)","40~49세",1318,1424,1562,1761,1700
"대구","부동산업(68)","50~59세",2268,2366,2421,2596,2772
"대구","부동산업(68)","60세 이상",1237,1426,1588,1655,1910
"대구","전문, 과학 및 기술 서비스업(70~73)","계",4067,4346,4514,4638,4636
"대구","전문, 과학 및 기술 서비스업(70~73)","29세 이하",32,64,51,63,62
"대구","전문, 과학 및 기술 서비스업(70~73)","30~39세",499,523,505,548,540
"대구","전문, 과학 및 기술 서비스업(70~73)","40~49세",1508,1595,1599,1598,1538
"대구","전문, 과학 및 기술 서비스업(70~73)","50~59세",1306,1372,1463,1499,1522
"대구","전문, 과학 및 기술 서비스업(70~73)","60세 이상",722,792,896,930,974
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",2748,2887,2929,2975,2979
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",38,57,36,52,66
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",405,465,420,409,400
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",1030,1008,997,1011,999
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",916,957,990,1029,1005
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",359,400,486,474,509
"대구","공공행정, 국방 및 사회보장 행정(84)","계",423,425,449,447,450
"대구","공공행정, 국방 및 사회보장 행정(84)","29세 이하",1,1,-,1,1
"대구","공공행정, 국방 및 사회보장 행정(84)","30~39세",6,6,4,3,6
"대구","공공행정, 국방 및 사회보장 행정(84)","40~49세",45,53,42,32,24
"대구","공공행정, 국방 및 사회보장 행정(84)","50~59세",345,332,351,372,380
"대구","공공행정, 국방 및 사회보장 행정(84)","60세 이상",26,33,52,39,39
"대구","교육 서비스업(85)","계",10584,10369,10166,10632,10835
"대구","교육 서비스업(85)","29세 이하",415,403,370,440,528
"대구","교육 서비스업(85)","30~39세",2855,2681,2667,2868,2822
"대구","교육 서비스업(85)","40~49세",4656,4451,4076,4202,4275
"대구","교육 서비스업(85)","50~59세",1987,2156,2299,2393,2498
"대구","교육 서비스업(85)","60세 이상",671,678,754,729,712
"대구","보건업 및 사회복지 서비스업(86~87)","계",6203,6397,6489,6806,7026
"대구","보건업 및 사회복지 서비스업(86~87)","29세 이하",29,29,24,31,41
"대구","보건업 및 사회복지 서비스업(86~87)","30~39세",869,838,749,847,902
"대구","보건업 및 사회복지 서비스업(86~87)","40~49세",2722,2713,2482,2561,2646
"대구","보건업 및 사회복지 서비스업(86~87)","50~59세",1953,2093,2364,2472,2517
"대구","보건업 및 사회복지 서비스업(86~87)","60세 이상",630,724,870,895,920
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","계",5469,5380,5139,5592,5892
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",131,162,122,156,182
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",966,891,828,966,1048
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",1667,1606,1477,1610,1615
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",2125,2074,1932,2059,2055
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",580,647,780,801,992
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",20680,20545,20316,20757,21323
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",280,343,348,454,508
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",2331,2258,2287,2520,2536
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",6364,6051,5596,5660,5611
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",7524,7267,6971,6991,7187
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",4181,4626,5114,5132,5481
"인천","전체 산업","계",177988,183593,186009,191566,196705
"인천","전체 산업","29세 이하",3456,4243,4401,4949,5582
"인천","전체 산업","30~39세",20771,21454,22977,24782,25762
"인천","전체 산업","40~49세",55150,54076,51583,52702,53007
"인천","전체 산업","50~59세",71042,72106,71274,71818,72410
"인천","전체 산업","60세 이상",27569,31714,35774,37315,39944
"인천","농업, 임업 및 어업(01~03)","계",22,30,27,27,33
"인천","농업, 임업 및 어업(01~03)","29세 이하",-,-,-,-,-
"인천","농업, 임업 및 어업(01~03)","30~39세",-,-,-,-,-
"인천","농업, 임업 및 어업(01~03)","40~49세",2,4,7,4,4
"인천","농업, 임업 및 어업(01~03)","50~59세",14,15,12,16,21
"인천","농업, 임업 및 어업(01~03)","60세 이상",6,11,8,7,8
"인천","광업(05~08)","계",32,38,36,34,35
"인천","광업(05~08)","29세 이하",-,-,-,-,-
"인천","광업(05~08)","30~39세",1,1,-,-,-
"인천","광업(05~08)","40~49세",4,6,6,6,9
"인천","광업(05~08)","50~59세",15,15,10,11,11
"인천","광업(05~08)","60세 이상",12,16,20,17,15
"인천","제조업(10~34)","계",22566,23667,24742,24738,24826
"인천","제조업(10~34)","29세 이하",196,275,328,352,386
"인천","제조업(10~34)","30~39세",1494,1739,1770,1866,1903
"인천","제조업(10~34)","40~49세",6629,6666,6712,6735,6692
"인천","제조업(10~34)","50~59세",10978,11161,11458,11420,11254
"인천","제조업(10~34)","60세 이상",3269,3826,4474,4365,4591
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","계",56,58,58,57,63
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,-,-,-
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",3,2,1,-,2
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",10,9,12,9,9
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",35,41,37,37,39
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",8,6,8,11,13
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",402,444,453,449,452
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",6,7,5,7,8
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",28,41,43,45,38
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",105,123,121,120,124
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",205,202,197,198,204
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",58,71,87,79,78
"인천","건설업(41~42)","계",4911,5193,5363,5561,5859
"인천","건설업(41~42)","29세 이하",45,55,59,89,103
"인천","건설업(41~42)","30~39세",339,377,408,440,500
"인천","건설업(41~42)","40~49세",1777,1798,1684,1743,1847
"인천","건설업(41~42)","50~59세",2186,2289,2377,2453,2542
"인천","건설업(41~42)","60세 이상",564,674,835,836,867
"인천","도매 및 소매업(45~47)","계",42640,44334,45055,45898,46705
"인천","도매 및 소매업(45~47)","29세 이하",1131,1383,1353,1492,1617
"인천","도매 및 소매업(45~47)","30~39세",5833,6517,6803,7415,7447
"인천","도매 및 소매업(45~47)","40~49세",14554,14440,13740,14066,14080
"인천","도매 및 소매업(45~47)","50~59세",14828,15090,15453,15449,15456
"인천","도매 및 소매업(45~47)","60세 이상",6294,6904,7706,7476,8105
"인천","운수 및 창고업(49~52)","계",22755,23081,23262,24271,24187
"인천","운수 및 창고업(49~52)","29세 이하",147,147,168,139,128
"인천","운수 및 창고업(49~52)","30~39세",2535,1187,1489,1276,1200
"인천","운수 및 창고업(49~52)","40~49세",5287,4546,4124,3819,3703
"인천","운수 및 창고업(49~52)","50~59세",8678,9683,9651,9304,9238
"인천","운수 및 창고업(49~52)","60세 이상",6108,7518,7830,9733,9918
"인천","숙박 및 음식점업(55~56)","계",32198,33116,33306,34301,35316
"인천","숙박 및 음식점업(55~56)","29세 이하",1060,1339,1426,1604,1860
"인천","숙박 및 음식점업(55~56)","30~39세",3669,4512,5227,5659,6026
"인천","숙박 및 음식점업(55~56)","40~49세",8643,8634,8730,9033,9115
"인천","숙박 및 음식점업(55~56)","50~59세",14806,14000,12391,12533,12236
"인천","숙박 및 음식점업(55~56)","60세 이상",4020,4631,5532,5472,6079
"인천","정보통신업(58~63)","계",676,801,849,861,947
"인천","정보통신업(58~63)","29세 이하",23,21,27,24,30
"인천","정보통신업(58~63)","30~39세",95,167,162,180,194
"인천","정보통신업(58~63)","40~49세",269,294,323,315,348
"인천","정보통신업(58~63)","50~59세",232,243,254,269,284
"인천","정보통신업(58~63)","60세 이상",57,76,83,73,91
"인천","금융 및 보험업(64~66)","계",1652,1651,1687,1720,1770
"인천","금융 및 보험업(64~66)","29세 이하",13,17,16,22,30
"인천","금융 및 보험업(64~66)","30~39세",118,153,128,147,144
"인천","금융 및 보험업(64~66)","40~49세",560,525,463,442,475
"인천","금융 및 보험업(64~66)","50~59세",739,742,844,878,908
"인천","금융 및 보험업(64~66)","60세 이상",222,214,236,231,213
"인천","부동산업(68)","계",6503,6676,6726,7274,7729
"인천","부동산업(68)","29세 이하",53,61,53,60,68
"인천","부동산업(68)","30~39세",369,370,378,439,455
"인천","부동산업(68)","40~49세",1977,1993,1839,1968,1851
"인천","부동산업(68)","50~59세",2908,2901,2879,3138,3397
"인천","부동산업(68)","60세 이상",1196,1351,1577,1669,1958
"인천","전문, 과학 및 기술 서비스업(70~73)","계",2864,3113,3286,3351,3498
"인천","전문, 과학 및 기술 서비스업(70~73)","29세 이하",25,57,57,59,62
"인천","전문, 과학 및 기술 서비스업(70~73)","30~39세",347,403,446,519,558
"인천","전문, 과학 및 기술 서비스업(70~73)","40~49세",1014,1081,1100,1103,1123
"인천","전문, 과학 및 기술 서비스업(70~73)","50~59세",1044,1077,1112,1125,1187
"인천","전문, 과학 및 기술 서비스업(70~73)","60세 이상",434,495,571,545,568
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",2505,2724,2753,2788,2919
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",43,62,62,77,84
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",305,373,396,391,410
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",775,807,774,767,805
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",1006,1045,988,1023,1035
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",376,437,533,530,585
"인천","공공행정, 국방 및 사회보장 행정(84)","계",449,448,470,479,483
"인천","공공행정, 국방 및 사회보장 행정(84)","29세 이하",-,-,-,-,-
"인천","공공행정, 국방 및 사회보장 행정(84)","30~39세",1,4,3,1,-
"인천","공공행정, 국방 및 사회보장 행정(84)","40~49세",63,69,51,49,40
"인천","공공행정, 국방 및 사회보장 행정(84)","50~59세",355,346,375,391,406
"인천","공공행정, 국방 및 사회보장 행정(84)","60세 이상",30,29,41,38,37
"인천","교육 서비스업(85)","계",7168,7308,7387,7708,8067
"인천","교육 서비스업(85)","29세 이하",217,262,256,298,324
"인천","교육 서비스업(85)","30~39세",1612,1658,1815,1969,2067
"인천","교육 서비스업(85)","40~49세",3044,2980,2658,2769,2905
"인천","교육 서비스업(85)","50~59세",1708,1782,1943,1992,2101
"인천","교육 서비스업(85)","60세 이상",587,626,715,680,670
"인천","보건업 및 사회복지 서비스업(86~87)","계",6082,6505,6654,7005,7333
"인천","보건업 및 사회복지 서비스업(86~87)","29세 이하",23,30,28,31,42
"인천","보건업 및 사회복지 서비스업(86~87)","30~39세",869,911,869,932,1047
"인천","보건업 및 사회복지 서비스업(86~87)","40~49세",2718,2698,2483,2634,2730
"인천","보건업 및 사회복지 서비스업(86~87)","50~59세",1913,2208,2442,2544,2604
"인천","보건업 및 사회복지 서비스업(86~87)","60세 이상",559,658,832,864,910
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","계",5849,5707,5425,6052,6684
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",161,182,188,235,276
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",1020,969,892,1062,1216
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",1706,1630,1528,1688,1773
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",2364,2255,2042,2251,2409
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",598,671,775,816,1010
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",18658,18699,18470,18992,19799
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",313,345,375,460,564
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",2133,2070,2147,2441,2555
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",6013,5773,5228,5432,5374
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",7028,7011,6809,6786,7078
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",3171,3500,3911,3873,4228
"광주","전체 산업","계",108808,111285,113424,116046,118409
"광주","전체 산업","29세 이하",2431,2915,2887,3324,3666
"광주","전체 산업","30~39세",14231,15184,16343,17615,17071
"광주","전체 산업","40~49세",36458,36393,35896,36235,36739
"광주","전체 산업","50~59세",40354,38968,38293,38341,39060
"광주","전체 산업","60세 이상",15334,17825,20005,20531,21873
"광주","농업, 임업 및 어업(01~03)","계",16,18,19,22,25
"광주","농업, 임업 및 어업(01~03)","29세 이하",-,-,-,-,-
"광주","농업, 임업 및 어업(01~03)","30~39세",1,1,-,-,1
"광주","농업, 임업 및 어업(01~03)","40~49세",2,4,5,6,7
"광주","농업, 임업 및 어업(01~03)","50~59세",10,10,11,11,14
"광주","농업, 임업 및 어업(01~03)","60세 이상",3,3,3,5,3
"광주","광업(05~08)","계",12,14,12,9,7
"광주","광업(05~08)","29세 이하",-,-,1,1,1
"광주","광업(05~08)","30~39세",1,1,1,1,1
"광주","광업(05~08)","40~49세",4,4,3,-,-
"광주","광업(05~08)","50~59세",6,8,6,3,4
"광주","광업(05~08)","60세 이상",1,1,1,4,1
"광주","제조업(10~34)","계",8092,8547,8781,8870,8983
"광주","제조업(10~34)","29세 이하",86,109,117,136,122
"광주","제조업(10~34)","30~39세",678,787,814,844,835
"광주","제조업(10~34)","40~49세",2513,2691,2715,2779,2806
"광주","제조업(10~34)","50~59세",3571,3589,3618,3606,3643
"광주","제조업(10~34)","60세 이상",1244,1371,1517,1505,1577
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","계",37,51,59,75,114
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,1,1,2
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",4,5,2,6,10
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",5,10,13,20,27
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",15,20,30,29,49
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",13,16,13,19,26
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",155,180,168,163,161
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",2,1,2,4,4
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",6,13,9,10,7
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",47,63,53,42,45
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",74,76,78,84,82
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",26,27,26,23,23
"광주","건설업(41~42)","계",4214,4749,4941,4935,5127
"광주","건설업(41~42)","29세 이하",47,62,60,60,76
"광주","건설업(41~42)","30~39세",355,463,516,519,530
"광주","건설업(41~42)","40~49세",1787,1948,1894,1924,1977
"광주","건설업(41~42)","50~59세",1649,1807,1902,1867,1937
"광주","건설업(41~42)","60세 이상",376,469,569,565,607
"광주","도매 및 소매업(45~47)","계",29687,30620,31051,31542,31636
"광주","도매 및 소매업(45~47)","29세 이하",746,871,879,987,1026
"광주","도매 및 소매업(45~47)","30~39세",4485,4762,4962,5250,5069
"광주","도매 및 소매업(45~47)","40~49세",10819,10924,10493,10765,10423
"광주","도매 및 소매업(45~47)","50~59세",9366,9428,9658,9628,9821
"광주","도매 및 소매업(45~47)","60세 이상",4271,4635,5059,4912,5297
"광주","운수 및 창고업(49~52)","계",10109,9718,10469,10513,10056
"광주","운수 및 창고업(49~52)","29세 이하",31,51,84,72,68
"광주","운수 및 창고업(49~52)","30~39세",366,519,802,1118,576
"광주","운수 및 창고업(49~52)","40~49세",2281,1680,1974,1440,1759
"광주","운수 및 창고업(49~52)","50~59세",5359,4261,3989,3670,3636
"광주","운수 및 창고업(49~52)","60세 이상",2072,3207,3620,4213,4017
"광주","숙박 및 음식점업(55~56)","계",18032,18348,18812,19317,19896
"광주","숙박 및 음식점업(55~56)","29세 이하",743,958,936,1074,1237
"광주","숙박 및 음식점업(55~56)","30~39세",2491,2862,3482,3717,3885
"광주","숙박 및 음식점업(55~56)","40~49세",5104,5303,5736,5880,5975
"광주","숙박 및 음식점업(55~56)","50~59세",7793,7118,6211,6205,6065
"광주","숙박 및 음식점업(55~56)","60세 이상",1901,2107,2447,2441,2734
"광주","정보통신업(58~63)","계",805,803,830,815,862
"광주","정보통신업(58~63)","29세 이하",21,34,18,23,30
"광주","정보통신업(58~63)","30~39세",137,137,144,148,149
"광주","정보통신업(58~63)","40~49세",354,324,303,294,310
"광주","정보통신업(58~63)","50~59세",241,239,274,267,283
"광주","정보통신업(58~63)","60세 이상",52,69,91,83,90
"광주","금융 및 보험업(64~66)","계",1458,1484,1459,1499,1591
"광주","금융 및 보험업(64~66)","29세 이하",19,20,12,8,9
"광주","금융 및 보험업(64~66)","30~39세",154,143,100,120,126
"광주","금융 및 보험업(64~66)","40~49세",551,540,418,436,490
"광주","금융 및 보험업(64~66)","50~59세",542,568,695,718,746
"광주","금융 및 보험업(64~66)","60세 이상",192,213,234,217,220
"광주","부동산업(68)","계",3283,3598,3881,4283,4680
"광주","부동산업(68)","29세 이하",12,20,19,37,42
"광주","부동산업(68)","30~39세",195,232,251,271,282
"광주","부동산업(68)","40~49세",905,1044,1159,1298,1359
"광주","부동산업(68)","50~59세",1269,1302,1364,1534,1700
"광주","부동산업(68)","60세 이상",902,1000,1088,1143,1297
"광주","전문, 과학 및 기술 서비스업(70~73)","계",2543,2804,2976,3016,3071
"광주","전문, 과학 및 기술 서비스업(70~73)","29세 이하",28,32,39,42,48
"광주","전문, 과학 및 기술 서비스업(70~73)","30~39세",330,397,431,443,421
"광주","전문, 과학 및 기술 서비스업(70~73)","40~49세",979,1063,1099,1078,1101
"광주","전문, 과학 및 기술 서비스업(70~73)","50~59세",787,850,887,930,948
"광주","전문, 과학 및 기술 서비스업(70~73)","60세 이상",419,462,520,523,553
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",1944,2135,2090,2162,2195
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",21,29,38,49,59
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",318,336,302,321,295
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",679,774,710,727,724
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",687,720,740,756,767
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",239,276,300,309,350
"광주","공공행정, 국방 및 사회보장 행정(84)","계",263,262,268,269,267
"광주","공공행정, 국방 및 사회보장 행정(84)","29세 이하",-,-,-,-,-
"광주","공공행정, 국방 및 사회보장 행정(84)","30~39세",4,3,1,1,1
"광주","공공행정, 국방 및 사회보장 행정(84)","40~49세",28,29,22,18,15
"광주","공공행정, 국방 및 사회보장 행정(84)","50~59세",209,211,220,226,225
"광주","공공행정, 국방 및 사회보장 행정(84)","60세 이상",22,19,25,24,26
"광주","교육 서비스업(85)","계",6899,6756,6631,6702,6941
"광주","교육 서비스업(85)","29세 이하",263,263,235,271,317
"광주","교육 서비스업(85)","30~39세",1693,1608,1674,1724,1697
"광주","교육 서비스업(85)","40~49세",3116,2984,2716,2729,2826
"광주","교육 서비스업(85)","50~59세",1318,1382,1450,1449,1562
"광주","교육 서비스업(85)","60세 이상",509,519,556,529,539
"광주","보건업 및 사회복지 서비스업(86~87)","계",4214,4396,4482,4680,4887
"광주","보건업 및 사회복지 서비스업(86~87)","29세 이하",27,20,17,21,26
"광주","보건업 및 사회복지 서비스업(86~87)","30~39세",632,650,612,643,685
"광주","보건업 및 사회복지 서비스업(86~87)","40~49세",1831,1800,1704,1780,1857
"광주","보건업 및 사회복지 서비스업(86~87)","50~59세",1263,1403,1508,1582,1613
"광주","보건업 및 사회복지 서비스업(86~87)","60세 이상",461,523,641,654,706
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","계",3895,3727,3589,3952,4188
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",154,172,152,186,199
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",783,726,659,728,783
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",1220,1143,1106,1194,1173
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",1394,1310,1210,1370,1451
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",344,376,462,474,582
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",13150,13075,12906,13222,13722
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",231,273,277,352,400
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",1598,1539,1581,1751,1718
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",4233,4065,3773,3825,3865
